agree,يُوَافِقُ,hold;jibe;concord
occupy,يَشْغَلُ,absorb;lodge in;fill
penny,قِرْش,centime;cent
preach,يَعِظُ,advocate;prophesy
prosper,يَزْدَهِرُ,thrive;fly high;flourish
province,مُقَاطَعَة,state;responsibility
satisfaction,رِضًا,expiation;gratification;atonement
sustain,يُحَافِظُ عَلَى,hold;nurture;suffer
acquire,يَكْتَسِبُ,adopt;gain;win
awkward,مُحْرِج,cumbersome;unenviable;inept
caretaker,مُعْتَنٍ,caretaker
deceive,يَخْدَعُ,delude;betray;cozen
discourage,ي��ثَبِّطُ,deter;admonish;monish
fake,مُزَيَّف,manipulate;wangle;misrepresent
hatred,كَرَاهِيَة,hate
hut,كُوخ,shack;hutch;field hut
inferior,أَدْنَى,subscript;deficient;substandard
lodge,نُزُل,inn;hunting lodge;deposit
neglect,يُهْمِلُ,ignore;drop;miss
newcomer,قَادِمٌ جَدِيد,fledgling;fledgeling;entrant
offense,جُنْحَة,offensive activity;law-breaking;crime
overlook,يُطِلُّ عَلَى,command;look out on;neglect
repay,يَرُدُّ,refund;rejoin;return
ridiculous,سَخِيف,absurd;ludicrous;preposterous
satisfactory,مُرْضٍ,acceptable
shepherd,رَاعٍ,sheepman;sheepherder
venture,يُغَامِرُ,stake;embark;pretend
wheat,قَمْح,straw;wheat berry;pale yellow
alley,زُقَاق,back street;bowling alley;alleyway
ax,فَأْس,axe
bunch,عُنْقُود,bunch together;cluster;lot
chore,عَمَلٌ رُوتِينِيّ,job;task
decent,لَائِق,adequate;seemly;right
disgraceful,مُخْزٍ,opprobrious;shocking;ignominious
elbow,كُوع,human elbow;cubital joint;cubitus
grateful,مُمْتَنّ,thankful
irritate,يُزْعِجُ,devil;rag;get at
kid,يَمْزَحُ,kidskin;fry;Thomas Kid
loose,مُرْتَخٍ,on the loose;release;relax
offend,يُهِينُ,scandalise;scandalize;wound
overnight,طَوَالَ اللَّيْل,nightlong;all-night
persist,يُثَابِرُ,run;hang on;hold on
pine,صَنَوْبَر,languish;yearn;pine tree
scar,نَدْبَة,cicatrice;cicatrix;mark
sensation,إِحْسَاس,aesthesis;ace;sentience
sled,زَلَّاجَة,sledge;sleigh
tease,يُضَايِقُ,rag;bug;pester
valentine,حَبِيب,Valentine
acquaint,يُعَرِّفُ,familiarise;introduce;familiarize
cemetery,مَقْبَرَة,graveyard;burial site;burial ground
creature,مَخْلُوق,wight;tool;beast
curse,يَلْعَنُ,oath;jinx;anathemise
disguise,تَنَكُّر,mask;camouflage
fancy,فَاخِر,fondness;picture;project
flashlight,مِصْبَاحٌ يَدَوِيّ,torch
hood,قَلَنْسُوَة,punk;lens hood;toughie
inhabitant,سَاكِن,habitant;indweller;dweller
nourish,يُغَذِّي,nurture;sustain;aliment
pirate,قُرْصَان,pirate ship;plagiarist;hijack
publication,مَنْشُور,issue;publishing
riddle,لُغْز,diffuse;permeate;penetrate
rot,يَتَعَفَّنُ,guff;putrefaction;bunk
shortly,قَرِيبًا,in brief;concisely;presently
skeleton,هَيْكَلٌ عَظْمِيّ,skeletal system;underframe;skeleton in the closet
spoil,يَفْسُدُ,fuck up;mishandle;itch
starve,يَجُوعُ,thirst;lust;crave
thrill,إِثَارَة,tingle;boot;frisson
wicked,شِرِّير,loathly;skanky;disgusting
alert,يُنَبِّهُ,warning signal;lively;brisk
broadcast,بَثّ,transmit;circulate;diffuse
bulletin,نَشْرَة,bulletin
bump,نُتُوء,excrescence;gibbousness;dislodge
chop,يُقَطِّعُ,chopper;chop up;chop shot
closet,خِزَانَة,water closet;loo;W.C.
console,يُوَاسِي,console table;cabinet;comfort
district,مِنْطَقَة,territorial dominion;zone;dominion
drawer,دُرْج,draftsman
endure,يَتَحَمَّلُ,tolerate;stand;stomach
execute,يُعْدِمُ,carry out;run;fulfill
grasp,يُمْسِكُ,hold;grok;reach
rear,خَلْفِيّ,back;arse;hind end
senator,عُضْوٌ فِي مَجْلِسِ الشُّيُوخ,senator
skull,جُمْجُمَة,skull
stir,يُحَرِّكُ,splash;hustle;call forth
tap,يَنْقُرُ,bug;spigot;exploit
tremendous,هَائِل,wondrous;awful;grand
underneath,تَحْتَ,underneath
worm,دُودَة,wriggle;dirt ball;insect
abandon,يَهْجُرُ,forsake;unconstraint;desert
ambitious,طَمُوح,challenging
bark,يَنْبَحُ,barque;skin
bay,خَلِيج,bay tree;bay laurel;true laurel
brilliant,بَارِع,magnificent;bright;glorious
chin,ذَقْن,Kuki;chin up;Kuki-Chin
complaint,شَكْوَى,ailment;charge;ill
deaf,أَصَمّ,indifferent;deafen
enthusiastic,مُتَحَمِّس,enthusiastic
expedition,بَعْثَة,military expedition;hostile expedition;jaunt
horizon,أُفُق,sensible horizon;skyline;celestial horizon
loyal,وَفِيّ,fast;firm;patriotic
mayor,عُمْدَة,city manager
mutual,مُتَبَادَل,common;reciprocal
overweight,زَائِدُ الْوَزْن,adiposis;fleshy;heavy
refuge,مَلْجَأ,recourse;asylum;safety
restore,يُعِيدُ,bushel;mend;doctor
rub,يَحُكُّ,wipe;fray;itch
senses,حَوَاسّ,good sense;smell;sentience
veterinarian,طَبِيبٌ بَيْطَرِيّ,veterinary;veterinary surgeon;vet
anniversary,ذِكْرَى سَنَوِيَّة,day of remembrance
arithmetic,حِسَاب,arithmetical
ashamed,خَجُول,ashamed
burst,يَنْفَجِرُ,abound;flare-up;break
carpenter,نَجَّار,carpenter
coal,فَحْم,char;ember
couch,أَرِيكَة,lounge;put;redact
drip,يُقَطِّرُ,drop;drip mould;trickle
elegant,أَنِيق,graceful;refined
fabric,قُمَاش,cloth;framework;textile
highlands,مُرْتَفَعَات,Highlands;highland;Highlands of Scotland
ivory,عَاج,off-white;tusk;bone
mill,طَاحُونَة,milling machinery;factory;grinder
needle,إِبْرَة,goad;phonograph needle;acerate leaf
polish,يُلَمِّعُ,burnish;shine;round off
sew,يَخِيطُ,tailor-make;run up;tailor
shed,سَقِيفَة,throw away;exuviate;drop
thread,خَيْط,train of thought;ribbon;yarn
trim,يُشَذِّبُ,bring down;trimming;trimness
upwards,إِلَى أَعْلَى,upward;upwardly;up
ally,حَلِيف,friend
boast,يَتَبَاهَى,brag;bluster;boasting
bounce,يَرْتَدُّ,jounce;saltation;take a hop
bully,مُتَنَمِّر,roughneck;yob;nifty
carbohydrate,كَرْبُوهِيدْرَات,saccharide;sugar
crawl,يَزْحَفُ,cringe;creep;fawn
defeat,يَهْزِمُ,frustration;shoot down;vote down
dial,قُرْص,telephone dial
dominant,مُسَيْطِر,prevalent;predominant;prevailing
entire,كَامِل,integral;stallion;intact
mercy,رَحْمَة,clemency;mercifulness
nod,يُومِئُ,nod
opponent,خَصْم,antagonist;opposite;adversary
quarrel,يَتَشَاجَرُ,words;argufy;scrap
rival,مُنَافِس,competitor;challenger;touch
sore,مُؤْلِم,tender;raw;painful
sting,يَلْسَعُ,flimflam;con game;hustle
strain,يُجْهِدُ,nervous strain;melodic phrase;stock
torture,تَعْذِيب,torturing;torment;agony
wrestle,يُصَارِعُ,wriggle;squirm;writhe
absence,غِيَاب,absence seizure
aloud,بِصَوْتٍ عَالٍ,loudly;loud;out loud
bald,أَصْلَع,denuded;barefaced;denudate
blanket,بَطَّانِيَّة,all-encompassing;panoptic;all-embracing
creep,يَتَسَلَّلُ,cringe;pussyfoot;creeping
divorce,طَلَاق,disassociate;split up;disjoint
imitate,يُقَلِّدُ,simulate;copy
infant,رَضِيع,babe;baby
kidnap,يَخْطِفُ,snatch;nobble;abduct
nap,قَيْلُولَة,Napoleon;catch a wink;pile
nowhere,لَا مَكَان,nowhere
pat,يُرَبِّتُ,dab;glib;rap
relief,ارْتِيَاح,rest;rest period;alleviation
reproduce,يُعِيدُ إِنْتَاج,procreate;regurgitate;multiply
rhyme,قَافِيَة,rime;verse
suck,يَمُصُّ,breastfeed;soak up;suck in
urgent,عَاجِل,pressing
vanish,يَخْتَفِي,go away;fell;vaporize
wagon,عَرَبَة,waggon;patrol wagon;coaster wagon
wrinkle,تَجْعِيد,crisp;crumple;crinkle
architecture,هَنْدَسَةٌ مِعْمَارِيَّة,computer architecture
basket,سَلَّة,basketful;field goal;hoop
bloom,يُزْهِرُ,heyday;prime;blossom
canoe,زَوْرَق,canoe
carpet,سَجَّادَة,carpeting;rug
cousin,ابْنُ الْعَمّ,full cousin;cousin-german;first cousin
desk,مَكْتَب,desk
gallery,صَالَةُ عَرْض,drift;heading;verandah
guest,ضَيْف,Edgar Albert Guest;node;Guest
host,مُضِيف,Host;legion;boniface
July,يُولْيُو,July
modern,حَدِيث,modern font;forward-looking;Bodoni
museum,مُتْحَف,museum
pink,وَرْدِيّ,ping;pinko;rap
plane,طَائِرَة,sheet;planer;airplane
refrigerator,ثَلَّاجَة,icebox
temperature,دَرَجَةُ الْحَرَارَة,temperature
theater,قَاعَةُ السِّينَمَا,dramaturgy;theatre of operations;theatre
upper,عُلْوِيّ,upper berth;speed;pep pill
welcome,يُرَحِّبُ,receive
anticipate,يَتَوَقَّعُ,foresee;foretell;counter
barrel,بِرْمِيل,barrelful;drum;bbl
beam,عَارِضَة,broadcast;transmit;light beam
casual,غَيْرُ رَسْمِيّ,insouciant;cursory;free-and-easy
caution,حَذَر,circumspection;admonish;caveat
contrary,عَكْس,obstinate;opposite;adverse
deliberate,مُتَعَمَّد,debate;moot;consider
dissolve,يَذُوبُ,thaw;melt;unthaw
explode,يَنْفَجِرُ,irrupt;burst;burst forth
fasten,يَرْبُطُ,secure;fix;tighten
germ,جُرْثُومَة,bug;source;microbe
kit,عُدَّة,kit out;kit up;outfit
puff,نَفْخَة,drag;gasp;pull
rag,خِرْقَة,devil;sheet;annoy
scatter,يُبَعْثِرُ,scattering;dissipate;dot
scent,رَائِحَة,smell;odorize;odor
steel,فُولَاذ,brand;sword;nerve
swift,سَرِيع,Dean Swift;western fence lizard;Jonathan Swift
toss,يَقْذِفُ,flip;convulse;jactitate
triumph,انْتِصَار,gloat;rejoice;wallow
aboard,عَلَى مَتْنِ,on base;on board;alongside
bitter,مُرّ,bitterness;caustic;acid
bullet,رَصَاصَة,slug;fastball;hummer
devil,شَيْطَان,rag;fiend;ogre
drift,يَنْجَرِفُ,gallery;roam;range
enforce,يُطَبِّقُ,implement;impose;apply
fountain,نَافُورَة,natural spring;fount;spring
harbor,مِينَاء,hold;harbour;nurse
inhabit,يَسْكُنُ,dwell;populate;live
march,يَسِيرُ,marchland;March;marching
millionaire,مِلْيُونِير,millionaire
port,مِينَاء,porthole;embrasure;interface
sheriff,عُمْدَة,sheriff
startle,يُفْزِعُ,start;galvanize;jump
sweat,يَعْرَقُ,perspiration;travail;sudate
trigger,زِنَاد,trip;spark;touch off
unify,يُوَحِّدُ,amalgamate;unite;merge
vessel,سَفِينَة,vas;watercraft
voyage,رِحْلَةٌ بَحْرِيَّة,ocean trip;navigate;sail
worship,يَعْبُدُ,revere;idolize;adoration
apprentice,مُتَدَرِّب,prentice;learner
assure,يُؤَكِّدُ,ascertain;check;secure
bandage,ضِمَادَة,patch;bind
bleed,يَنْزِفُ,run;phlebotomize;shed blood
bond,يَرْتَبِطُ,hold fast;Julian Bond;bond certificate
chef,طَاهٍ,chef
crown,تَاج,poll;jacket crown;coronate
departure,مُغَادَرَة,leaving;divergence;release
diligent,مُجْتَهِد,persevering
emperor,إِمْبَرَاطُور,emperor moth;emperor butterfly;Saturnia pavonia
fiber,لِيف,roughage;character;fibre
horrible,فَظِيع,horrifying;atrocious;ugly
impolite,غَيْرُ مُهَذَّب,impolite
kneel,يَرْكَعُ,kneeling
luxury,رَفَاهِيَة,lavishness;opulence;luxuriousness
massive,ضَخْم,monolithic;monumental
panic,يَفْزَعُ,scare;terror;affright
priority,أَوْلَوِيَّة,precedency;anteriority;precedence
robe,رِدَاء,gown;clothe;drape
scold,يُوَبِّخُ,rag;nag;common scold
affair,شَأْن,involvement;affaire;intimacy
assembly,جَمْعِيَّة,assemblage;fabrication;meeting place
bless,يُبَارِكُ,hallow;sanctify;sign
cereal,حُبُوب,cereal grass;grain;food grain
cheerful,مُبْتَهِج,pollyannaish;upbeat
diameter,قُطْر,diam
exploit,يَسْتَغِلُّ,work;overwork;feat
famine,مَجَاعَة,dearth;shortage
harvest,حَصَاد,harvesting;harvest home;harvest time
merry,مَرِح,gay;mirthful;alert
nut,جَوْزَة,en;crackpot;addict
pardon,يَعْفُو,free pardon;forgiveness;amnesty
pharaoh,فِرْعَوْن,Pharaoh of Egypt;Pharaoh
ripe,نَاضِج,right;mature;advanced
roast,يَشْوِي,roasted;ridicule;joint
routine,رُوتِين,turn;subroutine;everyday
scheme,خُطَّة,system;outline;intrigue
slim,نَحِيل,lose weight;melt off;slim down
stove,مَوْقِد,stave in;stave;range
theft,سَرِقَة,larceny;thievery;thieving
adolescent,مُرَاهِق,teen;teenaged;stripling
aptitude,مَوْهِبَة,aptitude
compliment,يُجَامِ��ُ,congratulate
hinder,يُعِيقُ,hind;back;blockade
journalism,صَحَافَة,news media
jury,هَيْئَةُ الْمُحَلَّفِين,panel
justice,عَدَالَة,Department of Justice;Justice Department;jurist
liberty,حُرِّيَّة,impropriety;familiarity;autonomy
literary,أَدَبِيّ,literary
pharmacy,صَيْدَلِيَّة,chemist's;drugstore;pharmaceutics
pill,حَبَّة,oral contraceptive;birth control pill;tab
presume,يَفْتَرِضُ,dare;make bold;assume
privacy,خُصُوصِيَّة,seclusion;concealment;secrecy
punishment,عُقُوبَة,penalisation;penalization;penalty
sensible,عَاقِل,reasonable;sensitive
slice,شَرِيحَة,fade;slit;slicing
sorrow,حُزْن,regret;sorrowfulness;ruefulness
straw,قَشَّة,strew;drinking straw;shuck
swell,يَنْتَفِخُ,intumesce;clotheshorse;nifty
tidy,مُرَتَّب,hefty;neaten;square away
affection,عَاطِفَة,fondness;warmness;heart
agency,وَكَالَة,means;bureau;federal agency
ash,رَمَاد,ash tree
confine,يَحْبِسُ,hold;hold in;restrain
dismiss,يَرْفُضُ,usher out;push aside;brush aside
erupt,يَثُورُ,irrupt;conflagrate;break open
fate,قَدَر,lot;portion;destine
lava,حِمَمٌ بُرْكَانِيَّة,lava
miserable,بَائِس,paltry;low-down;scurvy
navigate,يُوَجِّهُ,voyage;sail;pilot
originate,يَنْشَأُ,start;uprise;rise
remainder,بَقِيَّة,end;balance;residue
retrieve,يَسْتَرِدُّ,call up;call back;think
shallow,ضَحْل,shoal
slope,مُنْحَدَر,gradient;incline;side
span,يَمْتَدُّ,cross;couplet;pair
superstition,خُرَافَة,superstitious notion
sympathy,تَعَاطُف,fellow feeling;understanding
vibrate,يَهْتَزُّ,thrill;tickle;resonate
wander,يَتَجَوَّلُ,roam;wind;meander
armor,دِرْع,armour
blaze,يَشْتَعِلُ,hell;blaze out;blazing
boom,يَدْوِي,microphone boom;godsend;windfall
cliff,جُرْف,drop-off;drop
flame,لَهَب,fire;flare;flaming
independence,اسْتِقْلَال,independency;Independence
invasion,غَزْو,intrusion;encroachment
knight,فَارِس,dub;horse
lightning,بَرْق,lightning
rebel,ثَائِر,rise up;rise;Johnny Reb
retreat,يَنْسَحِبُ,retirement;move back;back out
revolution,ثَوْرَة,gyration;rotation
spear,رُمْح,spear up;fizgig;shaft
steep,شَدِيدُ الان��حِدَار,absorb;exorbitant;extortionate
summit,قِمَّة,superlative;tip;crest
thunder,رَعْد,nose drops;skag;boom
troops,قُوَّات,troop;military personnel;parade
warrior,مُحَارِب,warrior
withdraw,يَنْسَحِبُ,bow out;remove;call in
yield,يَسْتَسْلِمُ,return;move over;buckle under
bench,مَقْعَد,work bench;workbench;Bench
daisy,أُقْحُوَان,daisy
dispute,نِزَاع,argufy;scrap;gainsay
empty,فَارِغ,abandon;evacuate;empty-bellied
horror,رُعْب,revulsion;repugnance;repulsion
incident,حَادِثَة,incidental
mist,ضَبَاب,obnubilate;becloud;befog
object,شَيْء,aim;target;objective
orphan,يَتِيم,orphan
plot,يَتَآمَرُ,secret plan;game;plot of ground
pregnant,حَامِل,meaning;fraught;significant
rage,غَضَب,storm;cult;furor
revenge,انْتِقَام,retaliate;retaliation;avenge
shame,عَار,dishonour;pity;ignominy
sigh,يَتَنَهَّدُ,suspiration;suspire
sneak,يَتَسَلَّلُ,snarf;stalker;snitcher
spare,يَدَّخِرُ,superfluous;spare part;redundant
stem,سَاق,staunch;root;fore
supper,عَشَاء,supper
tender,طَرِيّ,stamp;legal tender;bid
beneath,تَحْتَ,to a lower place;at a lower place;below
cub,شِبْل,sonny;sonny boy;young carnivore
dawn,فَجْر,click;dayspring;come home
dissatisfied,غَيْرُ رَاضٍ,dissatisfy;disgruntled
ease,سُهُولَة,relaxation;alleviate;allay
evident,وَاضِح,manifest;apparent;observable
hail,بَرَد,acclaim;herald;come
howl,يَعْوِي,wail;ululation;yaup
leap,يَقْفِزُ,saltation;leaping;spring
magnificent,رَائِع,brilliant;glorious;splendid
necessity,ضَرُورَة,requisite;necessary;essential
outcome,نَتِيجَة,result;event;upshot
pile,كَوْمَة,pot;plenty;stack
profound,عَمِيق,wakeless;unfathomed;heavy
seize,يَسْتَوْلِي عَلَى,impound;confiscate;appropriate
squeeze,يَعْصِرُ,squeeze play;nip;clinch
supreme,أَسْمَى,sovereign
terrific,رَائِع,tremendous;wondrous;grand
trait,سِمَة,trait
vital,حَيَوِيّ,lively;critical;full of life
attack,يُهَاجِمُ,tone-beginning;onset;flack
breast,ثَدْي,titty;white meat;boob
cancer,سَرَطَان,genus Cancer;Crab;Cancer
cancerous,سَرَطَانِيّ,cancerous
cell,خَلِيَّة,cellular telephone;cellphone;prison cell
cigarette,سِيجَارَة,cigaret;fag;butt
code,شِفْرَة,computer code;write in code;encipher
cure,عِلَاج,bring around;heal;therapeutic
destruction,دَمَار,end;death;demolition
DNA,حِمْضٌ ن��وَوِيّ,deoxyribonucleic acid;desoxyribonucleic acid
extensive,وَاسِع,all-inclusive;all-encompassing;panoptic
female,أُنْثَى,distaff;female person
furthermore,عِلَاوَةً عَلَى ذَلِكَ,moreover;what is more
gene,جِين,factor;cistron
inherit,يَرِثُ,inherit
link,رَابِط,associate;contact;linkup
male,ذَكَر,Male;virile;manlike
population,سُكَّان,universe
result,نَتِيجَة,leave;resultant role;resolution
sugar,سُكَّر,refined sugar;gelt;lucre
accommodate,يَسْتَوْعِبُ,hold;reconcile;admit
circus,سِيرْك,Circus;genus Circus;carnival
coincide,يَتَزَامَنُ,cooccur;co-occur;concur
commission,يُكَلِّفُ,deputation;committal;perpetration
dose,جُرْعَة,dosage;Cupid's itch;sexually transmitted disease
dye,يَصْبُغُ,dyestuff
extent,مَدَى,extent
gender,جِنْس,sexuality;grammatical gender;sex
headline,عُنْوَانٌ رَئِيسِيّ,newspaper headline
informal,غَيْرُ رَسْمِيّ,cozy;intimate;loose
inquire,يَسْتَفْسِرُ,enquire;wonder;ask
messenger,رَسُول,courier
peer,يُحَدِّقُ,compeer;match;equal
portrait,صُورَةٌ شَخْصِيَّة,portrayal;portraiture
pose,يَتَّخِذُ وَضْعِيَّة,affectation;put;nonplus
ranch,مَزْرَعَة,cattle farm;cattle ranch;spread
steer,يُوَجِّهُ,direct;manoeuver;lead
stripe,شَرِيط,chevron;stripes;banding
tame,أَلِيف,chasten;moderate;tone down
tempt,يُغْرِي,invite;charm;influence
ban,يَحْظُرُ,banish;forbidding;proscription
cautious,حَذِر,conservative;timid
confess,يَعْتَرِفُ,profess;squeal;fink
cottage,كُوخ,bungalow
daytime,نَهَار,daylight;day
desperate,يَائِس,do-or-die;heroic;dire
exhausting,مُرْهِق,release;tucker;deplete
fade,يَتَلَاشَى,melt;languish;wither
fierce,شَرِس,trigger-happy;rough;cutthroat
gamble,يُقَامِرُ,take chances;risk;take a chance
lawn,عُشْب,lawn
mow,يَجُزُّ,haymow;pout;mop
outlaw,خَارِجٌ عَنِ الْقَانُون,unlawful;illicit;criminalize
prospect,احْتِمَال,prognosis;aspect;chance
purse,مِحْفَظَة,handbag;wrinkle;bag
rod,قَضِيب,gat;rod cell;retinal rod
seldom,نَادِرًا,rarely
shave,يَحْلِقُ,shaving;trim;plane
terrified,مَرْعُوب,panic-stricken;terrorise;panicked
wizard,سَاحِ��,ace;wizardly;magical
abroad,فِي الْخَارِج,afield;overseas
airline,شَرِكَةُ طَيَرَان,air hose;airway;airline business
audience,جُمْهُور,consultation;interview;hearing
bargain,صَفْقَة,steal;deal;dicker
brief,مُوجَز,legal brief;abbreviated
currency,عُمْلَة,currentness;up-to-dateness
data,بَيَانَات,datum;information;data point
domestic,مَحَلِّيّ,house servant;domesticated;domestic help
draft,مُسَوَّدَة,muster in;muster;draught
gather,يَجْمَعُ,amass;tuck;get together
hobby,هِوَايَة,by-line;spare-time activity;pursuit
income,دَخْل,income
jet,طَائِرَةٌ نَفَّاثَة,sooty;spirt;jet plane
maximum,أَقْصَى,upper limit;level best;uttermost
official,رَسْمِيّ,functionary;prescribed
recommend,يُوصِي,advocate;urge;commend
refer,يُشِيرُ,advert;name;have-to doe with
remote,نَاءٍ,remote control;removed;distant
sleepless,أَرِق,lidless;watchful;insomniac
volume,حَجْم,loudness;bulk;intensity
circulate,يَنْتَشِرُ,broadcast;diffuse;pass around
consequent,تَالٍ,attendant;accompanying;ensuant
derive,يَشْتَقُّ,come;gain;deduct
drown,يَغْرَقُ,swim;submerge;overwhelm
dynasty,سُلَالَة,dynasty
fraction,جُزْء,divide
frost,صَقِيع,freeze;Frost;hoar
illusion,وَهْم,trick;conjuring trick;magic trick
invade,يَغْزُو,obtrude upon;occupy;encroach upon
lieutenant,مُلَازِم,police lieutenant;deputy
marine,بَحْرِيّ,nautical;maritime;shipboard soldier
merit,مِيزَة,deservingness;virtue;meritoriousness
navy,بَحْرِيَّة,USN;United States Navy;dark blue
polar,قُطْبِيّ,diametrical;pivotal;opposite
ray,شُعَاع,irradiation;beam;ray of light
resign,يَسْتَقِيلُ,release;reconcile;quit
suicide,انْتِحَار,self-annihilation;felo-de-se;self-destruction
tremble,يَرْتَجِفُ,shake;shiver
underlying,ضِمْنِيّ,implicit in;underlie;rudimentary
via,عَبْرَ,via
alter,يُغَيِّرُ,change;castrate;modify
aside,جَانِبًا,divagation;excursus;parenthesis
autumn,خَرِيف,fall
blend,يَخْلِطُ,flux;go;combine
collapse,يَنْهَارُ,tumble;crack up;crock up
crush,يَسْحَقُ,crunch;demolish;beat out
curve,يَنْحَنِي,sheer;wind;cut
disgusting,مُقْرِف,loathly;nauseate;skanky
drain,يُصَرِّفُ,run out;enfeeble;drainage
embrace,يُعَانِقُ,embracement;squeeze;adopt
envy,يَحْسُدُ,invidia;enviousness;begrudge
fireworks,أَلْعَابٌ نَارِيَّة,firework;pyrotechnic
flour,دَقِيق,flour
fuse,فَتِيل,flux;primer;meld
ginger,زَنْجَبِيل,gingery;powdered ginger;pep
jealous,غَيُور,covetous;envious;green-eyed
paste,عَجِين,library paste;glue;spread
receipt,إِيصَال,acknowledge;reception
wipe,يَمْسَحُ,rub;pass over
wire,سِلْك,telegram;cable;telegraph
acknowledge,يَعْتَرِفُ,admit;recognize;know
ambassador,سَفِير,embassador
blonde,أَشْقَر,blond;light-haired
conquer,يَغْزُو,appropriate;subdue;capture
drag,يَجُرُّ,embroil;haul;retarding force
exaggerate,يُبَالِغُ,overdo;overstate;magnify
heritage,تُرَاث,inheritance
insult,يُهِينُ,revilement;contumely;diss
meanwhile,فِي غُضُونِ ذَلِكَ,interim;in the meantime;lag
necklace,قِلَادَة,necklace
noble,نَبِيل,baronial;stately;nobleman
precious,ثَمِين,valued;treasured;wanted
prejudice,تَحَيُّز,prepossess;bias;preconception
rumor,شَائِعَة,bruit;rumour;hearsay
sin,خَطِيئَة,sinfulness;trespass;hell
spectacle,مَشْهَد,spectacle
stack,كَوْمَة,pot;plenty;push-down list
suspicious,مَشْبُوه,shady;fishy;untrusting
tin,قَصْدِير,Sn;tin can;cannister
vase,مِزْهَرِيَّة,vase
ache,يُؤْلِمُ,languish;suffer;pine
arctic,قُطْبِيّ,rubber;gelid;frigid
canal,قَنَاة,channel;epithelial duct;duct
chemist,كِيمِيَائِيّ,pill roller;pill pusher;apothecary
chill,قُشَعْرِيرَة,shivering;iciness;shiver
congress,كُونْغْرِس,coitus;sexual congress;sex act
dairy,أَلْبَان,dairy farm
descend,يَنْزِلُ,derive;come;fall
grocer,بَقَّال,grocer
hesitate,يَتَرَدَّدُ,waver;pause;waffle
institution,مُؤَسَّسَة,mental home;insane asylum;establishment
jog,يُهَرْوِلُ,lope;ramble;square up
merchant,تَاجِر,merchandiser
poke,يَنْخُزُ,pound;prod;thump
postpone,يُؤَجِّلُ,remit;set back;defer
splash,يُطَرْطِشُ,squelch;splattering;stir
stubborn,عَنِيد,obstinate;refractory;unregenerate
suburb,ضَاحِيَة,suburban area;suburbia
tide,مَدٌّ وَجَزْر,lunar time period;surge
tragedy,مَأْسَاة,calamity;catastrophe;cataclysm
bomb,قُنْبُلَة,bombard;flush it;fail
certificate,شَهَادَة,credential;security;certification
circumstance,ظَرْف,context;condition;consideration
coffin,ت��ابُوت,casket
cope,يَتَأَقْلَمُ,make do;deal;grapple
criticism,نَقْد,critique;unfavorable judgment;literary criticism
devastate,يُدَمِّرُ,scourge;lay waste to;desolate
frown,يَعْبِسُ,lower;glower;lour
gaze,يُحَدِّقُ,regard;stare
glance,يَلْمَحُ,coup d'oeil;peek;glint
grief,أَسًى,heartbreak;brokenheartedness;heartache
groom,عَرِيس,neaten;stableman;prepare
license,رُخْصَة,certify;permit;licence
microscope,مِجْهَر,microscope
nuclear,نَوَوِيّ,atomic
portray,يُصَوِّرُ,impersonate;depict;present
rotate,يَدُورُ,circumvolve;turn out;splay
souvenir,تِذْكَار,token;relic;memento
submarine,غَوَّاصَة,zep;U-boat;wedge
trace,يَتَتَبَّعُ,vestige;decipher;tracing
coastline,خَطُّ السَّاحِل,coastline
deter,يَرْدَعُ,discourage;dissuade
devise,يَبْتَكِرُ,invent;prepare;excogitate
distance,مَسَافَة,outdistance;aloofness;space
expertise,خِبْرَة,expertness
fracture,كَسْر,geological fault;break;crack
headache,صُدَاع,vexation;concern;head ache
implement,يُنَفِّذُ,carry out;go through;put through
insight,بَصِيرَة,brainstorm;perceptiveness;perceptivity
limb,غُصْن,tree branch;branch;arm
might,قُوَّة,power;mightiness
optimism,تَفَاؤُل,optimism
proficient,بَارِع,adept;skilful;technical
raft,طَوْف,pot;plenty;stack
ridge,حَافَّة,ridgeline;rooftree;ridgepole
shoulder,كَتِف,articulatio humeri;shoulder joint;berm
shove,يَدْفَعُ,squeeze;stuff;jostle
spouse,زَوْج,married person;mate;better half
thrust,يَدْفَعُ,hurl;throw;poking
tolerate,يَتَحَمَّلُ,digest;stick out;suffer
accountable,مَسْؤُول,accountable
addictive,إِدْمَانِيّ,habit-forming
agenda,أَجِنْدَة,schedule;agendum;order of business
coin,يَصُوغُ,strike;mint
correlate,يَرْبُطُ,correlative;correlated
depression,اكْتِئَاب,impression;slump;low
digital,رَقْمِيّ,digital
importance,أَهَمِّيَّة,grandness
keyboard,لَوْحَةُ مَفَاتِيح,keyboard
loneliness,وِحْدَة,aloneness;desolation;solitariness
media,وَسَائِلُ الْإِعْلَام,culture medium;spiritualist;metier
platform,مِنَصَّة,political program;program;chopine
poor,ضَعِيف,miserable;inadequate;hapless
presence,وُجُود,comportment;mien;front
subject,يُعَرِّضُ,study;subject field;matter
surge,زِيَادَةٌ مُفَاجِئَة,scend;tide;heave
survey,اسْتِطْلَاع,study;surveil;follow
target,يَسْتَهْدِفُ,direct;aim;object
trend,اتِّجَاه,veer;drift;style
validate,يُصَادِقُ,formalise;corroborate;formalize
carbon,كَرْبُون,atomic number 6;carbon paper;C
carbon dioxide,ثَانِي أُكْسِيدِ الْكَرْبُون,carbon dioxide
