agree,يُوَافِقُ
denote,يُشِيرُ إِلَى
enlarge,يُكَبِّرُ
excess,فَائِض
feminine,أُنْثَوِيّ
hierarchy,تَسَلْسُلٌ هَرَمِيّ
pad,وَسَادَة
partner,شَرِيك
predominant,سَائِد
protocol,بُرُوتُوكُول
reputable,ذُو سُمْعَةٍ طَيِّبَة
signify,يَدُلُّ عَلَى
strap,حِزَام
style,أُسْلُوب
tangle,تَشَابُك
vanity,غُرُور
ashore,إِلَى الشَّاطِئ
contradict,يُنَاقِضُ
counterpart,نَظِير
devoid,خَالٍ مِنْ
diverge,يَتَفَرَّعُ
embryo,جَنِين
finally,أَخِيرًا
gazette,صَحِيفَة
homogeneous,مُتَجَانِس
individual,فَرْد
major,رَئِيسِيّ
obstruct,يُعِيقُ
plunge,يَغُوصُ
prolong,يُطِيلُ
publicize,يُعْلِنُ
surplus,فَائِض
survive,يَنْجُو
theorize,يُقَدِّمُ نَظَر��يَّة
verify,يَتَحَقَّقُ
vigorous,قَوِيّ
altar,مَذْبَح
arthritis,الْتِهَابُ الْمَفَاصِل
botany,عِلْمُ النَّبَات
credible,ذُو مِصْدَاقِيَّة
deceased,مُتَوَفًّى
deception,خِدَاع
document,وَثِيقَة
dung,رَوْث
dusk,غَسَق
gratify,يُرْضِي
hone,يَصْقُلُ
interpret,يُفَسِّرُ
motive,دَافِع
pneumonia,الْتِهَابٌ رِئَوِيّ
psychic,رُوحِيّ
psychotic,ذُهَانِيّ
scope,نِطَاق
sinister,شِرِّير
strife,صِرَاع
text,نَصّ
artery,شِرْيَان
deterioration,تَدَهْوُر
elusive,مُرَاوِغ
ensure,يَضْمَنُ
induce,يُحَفِّزُ
inseparable,لَا يَنْفَصِلَانِ
invalid,بَاطِل
magnify,يُكَبِّرُ
mainstream,تَيَّارٌ رَئِيسِيّ
microbe,مَيْكُرُوب
minor,ثَانَوِيّ
negligible,لَا يُذْكَر
paralysis,شَلَل
pest,آفَة
prevail,يَسُودُ
pursuit,سَعْي
rupture,تَمَزُّق
savage,وَحْشِيّ
stun,يُذْهِلُ
susceptible,عُرْضَةٌ لِ
advocate,يُدَافِعُ عَنْ
albeit,وَإِنْ كَانَ
authorize,يُفَوِّضُ
civilian,مَدَنِيّ
commodity,سِلْعَة
communicate,يَتَوَاصَلُ
conquest,فَتْح
disclose,يَكْشِفُ
dynamics,دِينَامِيكِيَّات
enroll,يُسَجِّلُ
envious,حَسُود
festive,احْتِفَالِيّ
indicate,يُشِيرُ
lentil,عَدَس
marshal,يُنَظِّمُ
morale,مَعْنَوِيَّات
mood,مِزَاج
prophecy,نُبُوءَة
senate,مَجْلِسُ الشُّيُوخ
unrest,اضْطِرَاب
certify,يُصَادِقُ
coherent,مُتَمَاسِك
collaborate,يَتَعَاوَنُ
compile,يُجَمِّعُ
curb,يَكْبَحُ
diagnose,يُشَخِّصُ
enact,يَسُنُّ
federation,اتِّحَاد
gross,إِجْمَالِيّ
humane,إِنْسَانِيّ
needy,مُحْتَاج
onset,بِدَايَة
pledge,يَتَعَهَّدُ
prohibit,يَمْنَعُ
render,يُقَدِّمُ
smallpox,جُدَرِيّ
transform,يُحَوِّلُ
transmit,يَنْقُلُ
vow,يَتَعَهَّدُ
widespread,وَاسِعُ الِانْتِشَار
adhere,يَلْتَزِمُ
administer,يُدِيرُ
compassionate,مُتَعَاطِف
contaminate,يُلَوِّثُ
deficiency,نَقْص
emphasis,تَأْكِيد
epidemic,وَبَاء
hazard,خَطَر
imperative,حَتْمِيّ
intestines,أَمْعَاء
manifest,يُظْهِرُ
overcrowded,مُكْتَظّ
practitioner,مُمَارِس
provision,تَزْوِيد
replenish,يُجَدِّدُ
reverse,يَعْكِسُ
sterile,مُعَقَّم
upgrade,يُرَقِّي
viable,قَابِلٌ لِلْحَيَاة
voluntary,طَوْعِيّ
airway,مَجْرَى الْهَوَاء
Almighty,الْقَدِير
advent,مَجِيء
cycle,دَوْرَة
definitive,نِهَائِيّ
equate,يُسَاوِي
found,يُؤَسِّسُ
ideology,أَيْدِيُولُوجِيَّة
inhale,يَسْتَنْشِقُ
invoke,يَسْتَدْعِي
lunar,قَمَرِيّ
novelty,جِدَّة
outmoded,عَفَا عَلَيْهِ الزَّمَن
personalize,يُخَصِّصُ
psychiatric,طِبِّيٌّ نَفْسِيّ
psychiatry,طِبٌّ نَفْسِيّ
reflex,رَدُّ فِعْلٍ مُنْعَكَس
seizure,نَوْبَة
session,جَلْسَة
utensil,أَدَاة
allocate,يُخَصِّصُ
appetizing,شَهِيّ
assign,يُعَيِّنُ
cavity,تَجْوِيف
clockwise,بِاتِّجَاهِ عَقَارِبِ السَّاعَة
concentric,مُتَّحِدُ الْمَرْكَز
courtesy,لُطْف
crisp,مُقَرْمَش
discord,خِلَاف
generate,يُوَلِّدُ
item,عُنْصُر
interchange,تَبَادُل
multicultural,مُتَعَدِّدُ الثَّقَافَات
omission,إِغْفَال
oversee,يُشْرِفُ
pierce,يَخْتَرِقُ
select,يَخْتَارُ
structure,هَيْكَل
visual,بَصَرِيّ
wavy,مُتَمَوِّج
conversion,تَحْوِيل
cram,يَحْشُو
defer,يُؤَجِّلُ
export,يُصَدِّرُ
fume,دُخَان
habitual,مُعْتَاد
justify,يُبَرِّرُ
notwithstanding,عَلَى الرَّغْمِ مِنْ
output,إِنْتَاج
overpopulation,اكْتِظَاظٌ سُكَّانِيّ
patent,بَرَاءَةُ اخْتِرَاع
penalize,يُعَاقِبُ
petroleum,نِفْط
region,مِنْطَقَة
scrap,خُرْدَة
sector,قِطَاع
subscribe,يَشْتَرِكُ
subsist,يَعِيشُ عَلَى الْكَفَاف
suspend,يُعَلِّقُ
synthesis,تَرْكِيب
acrobat,بَهْلَوَان
advocacy,مُنَاصَرَة
communal,جَمَاعِيّ
fluid,سَلِس
harmonize,يُنَسِّقُ
industrious,مُجْتَهِد
inventive,مُبْتَكِر
Mandarin,لُغَةُ الْمَانْدَرِين
metropolitan,حَضَرِيّ
mimic,يُقَلِّدُ
misguided,مُضَلَّل
rehearse,يَتَدَرَّبُ
resourceful,وَاسِعُ الْحِيلَة
scorn,يَحْتَقِرُ
sensory,حِسِّيّ
statute,قَانُون
technical,تِقْنِيّ
veteran,مُخَضْرَم
villain,شِرِّير
vine,كَرْمَة
aroma,عَبِير
beverage,مَشْرُوب
cluster,عُنْقُود
combine,يَدْمُجُ
condensed,مُكَثَّف
contemporary,مُعَاصِر
cultivate,يَزْرَعُ
divine,إِلَهِيّ
humid,رَطْب
odor,رَائِحَة
palate,حَنَك
paradise,جَنَّة
plantation,مَزْرَعَة
rapid,سَرِيع
rate,مُعَدَّل
soothing,مُهَدِّئ
subtle,دَقِيق
texture,نَسِيج
toxic,سَامّ
vary,يَتَنَوَّعُ
admiral,أَمِيرَال
arc,قَوْس
character,شَخْصِيَّة
conscience,ضَمِير
escape,يَهْرُبُ
fiery,نَارِيّ
flesh,لَحْم
grapefruit,جْرِيبْ فْرُوت
hay,قَشّ
horrified,مَرْعُوب
kerosene,كِيرُوسِين
loop,حَلْقَة
middle,مُنْتَصَف
paddle,مِجْدَاف
sour,حَامِض
stake,وَتَد
steward,مُضِيف
string,خَيْط
thorn,شَوْكَة
wreck,يُحَطِّمُ
admonish,يُوَبِّخُ
audible,مَسْمُوع
awesome,رَائِع
beware,يَحْذَرُ
brag,يَتَبَاهَى
conscious,وَاعٍ
disagree,يُخَ��لِفُ
echo,صَدَى
eventual,نِهَائِيّ
hint,تَلْمِيح
idiot,أَحْمَق
immense,هَائِل
indirect,غَيْرُ مُبَاشِر
option,خِيَار
pastime,تَسْلِيَة
perfect,مِثَالِيّ
pinpoint,يُحَدِّدُ بِدِقَّة
switch,يُبَدِّلُ
thorough,شَامِل
torment,يُعَذِّبُ
abrupt,مُفَاجِئ
agony,عَذَاب
assassin,قَاتِل
beard,لِحْيَة
beast,وَحْش
chapel,كَنِيسَة صَغِيرَة
commentator,مُعَلِّق
con,يَخْدَعُ
consensus,إِجْمَاع
conspiracy,مُؤَامَرَة
coup,انْقِلَاب
cynical,مُتَشَائِم
dome,قُبَّة
exclaim,يَهْتِفُ
forum,مُنْتَدَى
glamour,سِحْر
harass,يُضَايِقُ
illuminate,يُنِيرُ
inflame,يُشْعِلُ
melody,لَحْن
awhile,لَحْظَة
cyberspace,فَضَاء إلكتروني
edit,يُحَرِّرُ
essay,مَقَال
evaluate,يُقَيِّمُ
faint,يُغْمَى عَلَيْهِ
global,عَالَمِيّ
gymnasium,صَالَة أَلْعَاب رِيَاضِيَّة
highlight,يُسَلِّطُ الضَّوْءَ
ignorant,جَاهِل
index,فِهْرِس
lecture,مُحَاضَرَة
moral,أَخْلَاقِيّ
operate,يُشَغِّلُ
private,خَا��ّ
recent,حَدِيث
resolution,قَرَار
semester,فَصْل دِرَاسِيّ
typewritten,مَطْبُوع
weird,غَرِيب
accustom,يُعَوِّدُ
alpha,أَلْفَا
arouse,يُثِيرُ
articulate,فَصِيح
buzz,طَنِين
clash,صِدَام
classification,تَصْنِيف
cling,يَتَشَبَّثُ
compliance,امْتِثَال
comprehend,يَفْهَمُ
congregate,يَتَجَمَّعُ
custody,حَضَانَة
disperse,يُفَرِّقُ
embody,يُجَسِّدُ
empirical,تَجْرِيبِيّ
exclusion,اسْتِبْعَاد
flock,يَتَجَمَّعُ
graze,يَرْعَى
intelligent,ذَكِيّ
jungle,أَدْغَال
account,حِسَاب
architect,مُهَنْدِس مِعْمَارِيّ
conceal,يُخْفِي
crime,جَرِيمَة
deed,صَكّ
gratitude,امْتِنَان
habitat,مَوْطِن
intervene,يَتَدَخَّلُ
landmark,مَعْلَم
legal,قَانُونِيّ
memorable,لَا يُنْسَى
oblige,يُلْزِمُ
offense,جَرِيمَة
proclaim,يُعْلِنُ
rally,تَجَمُّع
resolve,يَحُلُّ
resource,مَوْرِد
sentence,حُكْم
volunteer,يَتَطَوَّعُ
witness,شَاهِد
access,وُصُول
conduct,سُلُوك
constant,مُسْتَمِرّ
crack,شَقّ
device,جِهَاز
enclose,يُحِيطُ
grip,قَبْضَة
halt,يَتَوَقَّفُ
impending,وِشِيك
influence,تَأْثِير
law,قَانُون
mode,وَضْع
perspire,يَتَعَرَّقُ
replace,يَسْتَبْدِلُ
snap,يَنْكَسِرُ
sly,مَاكِر
tend,يَمِيلُ
valid,صَالِح
version,نُسْخَة
whatsoever,عَلَى الْإِطْلَاق
alongside,جَنْبًا إِلَى جَنْب
appetite,شَهِيَّة
assist,يُسَاعِدُ
breeze,نَسِيم
defy,يَتَحَدَّى
display,يَعْرِضُ
efficient,فَعَّال
feeble,ضَعِيف
forgive,يَسَامِحُ
lively,حَيَوِيّ
majestic,مَهِيب
nor,وَلَا
outraged,غَاضِب
pessimistic,مُتَشَائِم
relationship,عَلَاقَة
slap,يَصْفَعُ
smash,يُحَطِّمُ
successful,نَاجِح
wage,أَجْر
whereas,بَيْنَمَا
animate,حَيّ
classify,يُصَنِّفُ
concede,يَعْتَرِفُ
concept,مَفْهُوم
construct,يَبْنِي
decade,عَقْد
diagram,رَسْم بَيَانِيّ
ferry,عَبَّارَة
handy,مُفِيد
isolate,يَعْزِلُ
longing,شَوْق
numerous,عَدِيد
particle,جُسَيْم
plea,الْتِمَاس
refrain,يَمْتَنِعُ
review,مُرَاجَعَة
sophisticated,مُتَطَوِّر
surrender,يَسْتَسْلِمُ
upright,مُنْتَصِب
worthwhile,جَدِير بِالاهْتِمَام
alliance,تَحَالُف
applause,تَصْفِيق
armed,مُسَلَّح
authoritative,ذُو سُلْطَة
bravery,شَجَاعَة
ceremony,احْتِفَال
culture,ثَقَافَة
defense,دِفَاع
detail,تَفْصِيل
diverse,مُتَنَوِّع
enchant,يَسْحَرُ
equip,يُجَهِّزُ
exception,اسْتِثْنَاء
genre,نَوْع
impact,تَأْثِير
lure,يُغْرِي
obstacle,عَقَبَة
shelter,مَأْوَى
supply,يُزَوِّدُ
vain,مَغْرُور
alternative,بَدِيل
avenue,شَارِع
belly,بَطْن
bid,مُحَاوَلَة
blow,يَهُبُّ
conflict,صِرَاع
continent,قَارَّة
current,تَيَّار
disrespect,عَدَمُ احْتِرَام
enthusiasm,حَمَاس
harsh,قَاسٍ
lean,يَمِيلُ
meantime,فِي هَذِهِ الْأَثْنَاء
mischief,شَقَاوَة
muscle,عَضَلَة
rescue,يُنْقِذُ
succession,تَتَابُع
terrain,تَضَارِيس
timid,خَجُول
violence,عُنْف
affect,يُؤَثِّرُ
autograph,تَوْقِيع
bead,خَرَزَة
brew,يُخَمِّرُ
charm,يَسْحَرُ
destiny,قَدَر
equipment,مُ��َدَّات
horn,بُوق
irritable,سَرِيعُ الْغَضَب
lag,يَتَخَلَّفُ
nightmare,كَابُوس
nutritious,مُغَذٍّ
protein,بُرُوتِين
signature,تَوْقِيع
stuff,أَشْيَاء
subconscious,لَاشُعُورِيّ
van,شَاحِنَة
warn,يُحَذِّرُ
workout,تَمْرِين
zoom,يُسْرِعُ
brick,طُوب
crumble,يَتَفَتَّتُ
dough,عَجِين
express,يُعَبِّرُ
fist,قَبْضَة
flexible,مَرِن
flush,يَحْمَرُّ
injure,يُصِيبُ
lump,كُتْلَة
mixture,خَلِيط
reconcile,يُصَالِحُ
ruin,يُدَمِّرُ
shatter,يَتَحَطَّm
shutter,مِصْرَاع
sift,يُنَخِّلُ
slight,طَفِيف
sparkle,يَلْمَعُ
sprinkle,يَرُشُّ
stale,قَدِيم
utter,يَنْطِقُ
although,بِالرَّغْمِ مِنْ
apply,يُطَبِّقُ
await,يَنْتَظِرُ
beloved,مَحْبُوب
climate,مُنَاخ
complain,يَشْكُو
confuse,يُرْبِكُ
due,مُسْتَحَقّ
establish,يُؤَسِّسُ
furnace,فُرْن
leash,زِمَام
mature,يَنْضُجُ
measure,يَقِيسُ
midst,وَسَط
misery,بُؤْس
powerless,عَاجِز
prior,سَابِق
research,بَحْث
spaceship,سَفِينَة فَضَائِي��َة
variety,تَنَوُّع
altogether,تَمَامًا
bind,يَرْبُطُ
bruise,كَدْمَة
custom,عَادَة
disobedient,عَاصٍ
foresee,يَتَنَبَّأُ
glimpse,لَمْحَة
hoop,طَوْق
misfortune,سُوءُ حَظّ
negative,سَلْبِيّ
per,لِكُلّ
plead,يَتَوَسَّلُ
rip,يُمَزِّقُ
sake,لِأَجْلِ
scrape,يَكْشُطُ
source,مَصْدَر
stern,صَارِم
stitch,يَخِيطُ
thump,ضَرْبَة
vehement,عَنِيف
ailing,مَرِيض
alike,مُتَشَابِه
appall,يُرَوِّعُ
bathe,يَسْتَحِمُّ
bounds,حُدُود
critique,يَنْتَقِدُ
demography,دِيمُوغرافيا
diagnosis,تَشْخِيص
dip,انْخِفَاض
distress,ضِيق
fever,حُمَّى
grim,قَاتِم
gut,أَمْعَاء
helmet,خُوذَة
herb,عُشْب
militant,مُتَشَدِّد
miracle,مُعْجِزَة
mourn,يَحْزَنُ
nonsense,هَرَاء
physician,طَبِيب
accent,لَهْجَة
barber,حَلَّاق
basement,قَبْو
blank,فَارِغ
blink,يَرْمِشُ
choir,جَوْقَة
comic,هَزَلِيّ
complicate,يُعَقِّدُ
decline,يَرْفُضُ
errand,مُهِمَّة
glove,قُفَّاز
hermit,نَاسِك
justly,بِعَدْل
leather,جِلْد
ponder,يَتَأَمَّلُ
reserve,يَحْجُزُ
script,نَصّ
search,يَبْحَثُ
slam,يَصْفَعُ
staircase,سُلَّم
afflicted,مُصَاب
aisle,مَمَرّ
atmosphere,جَوّ
author,مُؤَلِّف
breakdown,عُطْل
cargo,شُحْنَة
chapter,فَصْل
connect,يَرْبُطُ
etc.,إِلَخ
flip,يَقْلِبُ
idle,عَاطِل
notify,يُخْطِرُ
pea,بَازِلَّاء
raisin,زَبِيب
retain,يَحْتَفِظُ
state,يُصَرِّحُ
tray,صِينِيَّة
unfortunate,مُؤْسِف
vivid,وَاضِح
vomit,يَتَقَيَّأُ
ambition,طُمُوح
ambulance,سَيَّارَةُ إِسْعَاف
ankle,كَاحِل
cabin,كُوخ
calendar,تَقْوِيم
calorie,سُعْرَة حَرَارِيَّة
cave,كَهْف
constantly,بِاسْتِمْرَار
contingent,وَفْد
deadline,مَوْعِد نِهَائِيّ
exert,يَبْذُلُ
flank,يُجَانِبُ
fond,مُغْرَم
forbid,يَمْنَعُ
haul,يَجُرُّ
impair,يُضْعِفُ
impatient,نَافِدُ الصَّبْر
mid,مُنْتَصَف
nutrition,تَغْذِيَة
optimist,مُتَفَائِل
background,خَلْفِيَّة
bait,طُعْم
chronicle,يُؤَرِّخُ
copper,نُحَاس
disease,مَرَض
folklore,فُلْكُلُور
infect,يُعْدِي
itch,حَكَّة
literature,أَدَب
millennium,أَلْفِيَّة
myth,أُسْطُورَة
promote,يُرَقِّي
relate,يَرْتَبِطُ
religion,دِين
sum,مَجْمُوع
teller,صَرَّاف
trustworthy,جَدِير بِالثِّقَة
update,يُحَدِّثُ
vein,وَرِيد
venom,سُمّ
charity,صَدَقَة
commerce,تِجَارَة
condemn,يُدِينُ
cozy,دَافِئ
deplete,يَسْتَنْفِدُ
economy,اقْتِصَاد
empire,إِمْبَرَاطُورِيَّة
goods,بَضَائِع
heed,يَنْتَبِهُ
hitchhike,يَسْتَوْقِفُ السَّيَّارَات
mock,يَسْخَرُ
neutral,مُحَايِد
persecute,يَضْطَهِدُ
pity,شَفَقَة
reduce,يُقَلِّلُ
scribe,كَاتِب
temper,مِزَاج
throne,عَرْش
unity,وَحْدَة
victor,مُنْتَصِر
accurate,دَقِيق
analyze,يُحَلِّلُ
asteroid,كُوَيْكِب
controversy,جَدَل
evolve,يَتَطَوَّرُ
factor,عَامِل
genetic,وِرَاثِيّ
genome,جِينُوم
identical,مُتَطَابِق
intellectual,مُثَقَّف
majority,أَغْلَبِيَّة
mammal,ثَدْيِيّ
multiply,يَتَضَاعَفُ
offspring,ذُرِّيَّة
pesticide,مُبِيد حَشَرِيّ
regulate,يُنَظِّمُ
reinforce,يُعَزِّزُ
stricken,مُصَاب
vast,شَاسِع
vegetarian,نَبَاتِيّ
bowl,وِعَاء
cooking,طَبْخ
dense,كَثِيف
dignity,كَرَامَة
dominate,يُسَيْطِرُ
earthen,طِينِيّ
hostile,عَدَائِيّ
incorrect,خَاطِئ
intake,مَدْخُول
likewise,كَذَلِكَ
machine,آلَة
medication,دَوَاء
obscure,غَامِض
oppress,يَقْمَعُ
peel,يُقَشِّرُ
prescription,وَصْفَة طِبِّيَّة
progress,تَقَدُّم
sandy,رَمْلِيّ
shortage,نَقْص
skillful,مَاهِر
aircraft,طَائِرَة
celebrity,مَشْهُور
concrete,خَرَسَانَة
decisive,حَاسِم
esteemed,مُحْتَرَم
ethical,أَخْلَاقِيّ
extinct,مُنْقَرِض
hardy,قَوِيّ
institute,مَعْهَد
jealousy,غَيْرَة
migrate,يُهَاجِرُ
nurture,يُرَبِّي
overhead,عَلَى ارْتِفَاع
principle,مَبْدَأ
rural,رِيفِيّ
secluded,مُنْعَزِل
species,نَوْع
swamp,مُسْتَنْقَع
traverse,يَعْبُرُ
zoology,عِلْمُ الْحَيَوَان
accordingly,بِنَاءً عَلَى ذَلِكَ
anchor,مِرْسَاة
cause,يُسَبِّبُ
context,سِيَاق
designate,يُ��َيِّنُ
distort,يُشَوِّهُ
dock,رَصِيف
energy,طَاقَة
frequent,مُتَكَرِّر
gears,تُرُوس
genuine,أَصْلِيّ
grease,شَحْم
knowledge,مَعْرِفَة
omit,يَحْذِفُ
offset,يُعَوِّضُ
overlap,يَتَدَاخَلُ
secondhand,مُسْتَعْمَل
skill,مَهَارَة
slot,فُتْحَة
tactic,تَكْتِيك
beneficial,مُفِيد
birthplace,مَسْقَطُ الرَّأْس
capacity,سِعَة
comparative,مُقَارَن
comprehensive,شَامِل
conserve,يَحْفَظُ
crucial,حَاسِم
cumulative,تَرَاكُمِيّ
deposit,يُودِعُ
distribute,يُوَزِّعُ
equator,خَطُّ الِاسْتِوَاء
exotic,غَرِيب
federal,فِدْرَالِيّ
formation,تَكْوِين
frequency,تَرَدُّد
objective,هَدَف
oxygen,أُكْسِجِين
rainforest,غَابَة مَطِيرَة
strategy,اسْتِرَاتِيجِيَّة
wooded,مُشَجَّر
avail,فَائِدَة
define,يُعَرِّفُ
dread,يَخْشَى
expand,يَتَوَسَّعُ
fundamental,أَسَاسِيّ
horrifying,مُرَوِّع
incredulous,مُتَشَكِّك
linger,يَتَبَقَّى
organism,كَائِن حَيّ
paraphrase,يُعِيدُ صِيَاغَة
plague,وَبَاء
presently,حَالِيًّا
random,عَشْوَائِيّ
riot,شَغَب
scribble,يُخَرْبِشُ
shrine,ضَرِيح
solitude,عُزْلَة
stark,صَارِخ
summon,يَسْتَدْعِي
worsen,يَسُوءُ
automobile,سَيَّارَة
candidate,مُرَشَّح
confidential,سِرِّيّ
corporate,شَرِكَاتِيّ
enhance,يُحَسِّنُ
era,عَصْر
guideline,مَبْدَأ تَوْجِيهِيّ
incorporate,يَدْمُجُ
interact,يَتَفَاعَلُ
interval,فَتْرَة
mobile,مُتَنَقِّل
modify,يُعَدِّلُ
parallel,مُوَازٍ
phenomenon,ظَاهِرَة
pollute,يُلَوِّثُ
ridicule,يَسْخَرُ
solar,شَمْسِيّ
territory,إِقْلِيم
tournament,بُطُولَة
transportation,نَقْل
bill,فَاتُورَة
boundary,حَدّ
chaos,فَوْضَى
consistent,مُتَّسِق
cyclone,إِعْصَار
doomed,مَحْكُوم عَلَيْهِ بِالْفَشَل
heir,وَرِيث
martial,عَسْكَرِيّ
organic,عُضْوِيّ
poultry,دَوَاجِن
scramble,يَتَدَافَعُ
sergeant,رَقِيب
sheer,مَحْض
stance,مَوْقِف
telegraph,تِلِغْرَاف
textile,نَسِيج
tornado,إِعْصَار
typhoon,إِعْصَار
wail,يَنُوحُ
wardrobe,خِزَانَةُ مَلَ��بِس
adverse,عَكْسِيّ
alternate,بَدِيل
biodegradable,قَابِل لِلتَّحَلُّل
boxed,مُعَلَّب
choke,يَخْتَنِقُ
convenient,مُرِيح
discard,يَتَخَلَّصُ مِنْ
dolphin,دُلْفِين
ecologically,بِيئِيًّا
fatal,قَاتِل
incidence,حُدُوث
municipal,بَلَدِيّ
overuse,إِفْرَاطُ الِاسْتِخْدَام
pond,بِرْكَة
recycle,يُعِيدُ تَدْوِير
reusable,قَابِل لِإِعَادَةِ الِاسْتِخْدَام
stuffed,مَحْشُوّ
tragic,مَأْسَاوِيّ
utilize,يَسْتَخْدِمُ
whale,حُوت
amateur,هَاوٍ
ambiguous,غَامِض
anonymous,مَجْهُول
attain,يُحَقِّقُ
autonomy,اسْتِقْلَال ذَاتِيّ
concession,تَنَازُل
decay,تَسَوُّس
dwell,يَسْكُنُ
enlighten,يُنَوِّرُ
enrich,يُثْرِي
flourish,يَزْدَهِرُ
geometry,هَنْدَسَة
gleam,يَلْمَعُ
greed,جَشَع
harmony,انْسِجَام
indigenous,أَصْلِيّ
jurisdiction,اخْتِصَاص
parade,مَوْكِب
statue,تِمْثَال
virgin,عَذْرَاء
abnormal,غَيْرُ طَبِي��ِيّ
absent,غَائِب
adjacent,مُجَاوِر
aluminum,أَلُومِنْيُوم
applicable,قَابِل لِلتَّطْبِيق
artificial,اصْطِنَاعِيّ
bicycle,دَرَّاجَة هَوَائِيَّة
broker,وَسِيط
bureaucracy,بِيرُوقْرَاطِيَّة
configure,يُهَيِّئُ
consolidate,يُدْمِجُ
convenience,رَاحَة
deduct,يَخْصِمُ
deem,يَعْتَبِرُ
entrepreneur,رَجُلُ أَعْمَال
evenly,بِالتَّسَاوِي
fiscal,مَالِيّ
franchise,امْتِيَاز
ideological,أَيْدِيُولُوجِيّ
robot,إِنْسَانٌ آلِيّ
abbey,دَيْر
abundant,وَفِير
adjoin,يُجَاوِرُ
ample,وَاسِع
arid,قَاحِل
cathedral,كَاتِدْرَائِيَّة
crisis,أَزْمَة
deprive,يَحْرِمُ
drought,جَفَاف
eligible,مُؤَهَّل
fast,يَصُومُ
grumble,يَتَذَمَّرُ
inland,دَاخِلِيّ
moisture,رُطُوبَة
nonetheless,مَعَ ذَلِكَ
oath,قَسَم
prairie,مَرْج
rugged,وَعِر
scarce,نَادِر
speculate,يُخَمِّنُ
aquatic,مَائِيّ
biosphere,مَحِيط حَيَوِيّ
bizarre,غَرِيب
Celsius,سِلْسِيُوس
coarse,خَشِن
companion,رَفِيق
digest,يَهْضِمُ
duration,مُدَّة
ecology,عِلْمُ الْبِيئَة
feat,إِنْجَاز
infinite,لَا نِهَائِيّ
nucleus,نَوَاة
parasite,طُفَيْلِيّ
prominent,بَارِز
repetitive,مُتَكَرِّر
reproductive,تَنَاسُلِيّ
temperate,مُعْتَدِل
tolerance,تَسَامُح
undergo,يَخْضَعُ
vulnerable,ضَعِيف
archaic,قَدِيم
brass,نُحَاس أَصْفَر
capitalism,رَأْسْمَالِيَّة
component,مُكَوِّن
dependence,اعْتِمَاد
diminish,يُقَلِّلُ
drawback,عَيْب
impose,يَفْرِضُ
industry,صِنَاعَة
managerial,إِدَارِيّ
medieval,عُصُور وُسْطَى
obsolete,مُهْمَل
oriented,مُوَجَّه
peninsula,شِبْهُ جَزِيرَة
prestige,هَيْبَة
proportion,نِسْبَة
radical,جَذْرِيّ
refute,يَدْحَضُ
spectacular,مُذْهِل
weave,يَنْسِجُ
accountant,مُحَاسِب
capitalist,رَأْسْمَالِيّ
contempt,ازْدِرَاء
crop,مَحْصُول
dedicate,يُكَرِّسُ
ditch,خَنْدَق
enterprise,مَشْرُوع
finance,يُمَوِّلُ
indifferent,لَامُبَالٍ
irrigate,يَرْوِي
maximize,يُعَظِّمُ
monetary,نَقْدِيّ
precaution,احْتِيَاط
preliminary,تَمْهِيدِيّ
saturate,يُشَبِّعُ
simplicity,بَسَاطَة
sow,يَزْرَعُ
spade,مِجْرَفَة
tomato,طَمَاطِم
upcoming,قَادِم
anthropology,عِلْمُ الْإِنْسَان
applaud,يُصَفِّقُ
appoint,يُعَيِّنُ
compatible,مُتَوَافِق
competence,كَفَاءَة
confer,يَتَشَاوَرُ
consecutive,مُتَتَالٍ
crude,خَام
cube,مُكَعَّب
feedback,تَعْلِيقَات
ignorance,جَهْل
masculine,ذُكُورِيّ
monument,نُصْب تِذْكَارِيّ
muscular,عَضَلِيّ
posture,وَضْعِيَّة
situate,يُقِيمُ
supervise,يُشْرِفُ
symmetry,تَنَاظُر
tattoo,وَشْم
undergraduate,طَالِب جَامِعِيّ
cater,يُلَبِّي
considerate,مُرَاعٍ
consumption,اسْتِهْلَاك
criteria,مَعَايِير
crust,قِشْرَة
entitle,يُخَوِّلُ
escort,يُرَافِقُ
external,خَارِجِيّ
facility,مِرْفَق
faculty,هَيْئَة تَدْرِيس
heap,كَوْمَة
hemisphere,نِصْفُ الْكُرَة
hound,كَلْبُ صَيْد
impersonal,غَيْرُ شَخْصِيّ
lick,يَلْعَقُ
ornament,زُخْرُف
pedestrian,مُشَاة
sanctuary,مَلَاذ
spectator,مُتَفَرِّج
yell,يَصْرُخُ
accessory,إِكْسِسْوَار
acquisition,اكْتِسَاب
cardboard,وَرَق مُقَوًّى
dilemma,مُعْضِلَة
elaborate,مُفَصَّل
exact,دَقِيق
facilitate,يُسَهِّلُ
fleet,أُسْطُول
grid,شَبَكَة
import,يَسْتَوْرِدُ
infer,يَسْتَنْتِجُ
inflate,يَنْفُخُ
innate,فِطْرِيّ
marble,رُخَام
mast,صَارِي
nausea,غَثَيَان
naval,بَحْرِيّ
pouch,جِرَاب
saturated,مُشَبَّع
update,تَحْدِيث
attorney,مُحَامٍ
chronic,مُزْمِن
discipline,انْضِبَاط
donor,مُتَبَرِّع
fellow,زَمِيل
gossip,نَمِيمَة
graduate,يَتَخَرَّجُ
graffiti,جِدَارِيَّات
